,param_comb,alpha,beta,Lambda,sigma,run,episode,steps,reward
0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,5343.0,-5343.0
1,0.0,0.1,0.0,0.0,0.0,0.0,1.0,1692.0,-1692.0
2,0.0,0.1,0.0,0.0,0.0,0.0,2.0,962.0,-962.0
3,0.0,0.1,0.0,0.0,0.0,0.0,3.0,1151.0,-1151.0
4,0.0,0.1,0.0,0.0,0.0,0.0,4.0,824.0,-824.0
5,0.0,0.1,0.0,0.0,0.0,0.0,5.0,1067.0,-1067.0
6,0.0,0.1,0.0,0.0,0.0,0.0,6.0,739.0,-739.0
7,0.0,0.1,0.0,0.0,0.0,0.0,7.0,673.0,-673.0
8,0.0,0.1,0.0,0.0,0.0,0.0,8.0,577.0,-577.0
9,0.0,0.1,0.0,0.0,0.0,0.0,9.0,567.0,-567.0
10,0.0,0.1,0.0,0.0,0.0,0.0,10.0,488.0,-488.0
11,0.0,0.1,0.0,0.0,0.0,0.0,11.0,696.0,-696.0
12,0.0,0.1,0.0,0.0,0.0,0.0,12.0,494.0,-494.0
13,0.0,0.1,0.0,0.0,0.0,0.0,13.0,600.0,-600.0
14,0.0,0.1,0.0,0.0,0.0,0.0,14.0,453.0,-453.0
15,0.0,0.1,0.0,0.0,0.0,0.0,15.0,319.0,-319.0
16,0.0,0.1,0.0,0.0,0.0,0.0,16.0,505.0,-505.0
17,0.0,0.1,0.0,0.0,0.0,0.0,17.0,403.0,-403.0
18,0.0,0.1,0.0,0.0,0.0,0.0,18.0,513.0,-513.0
19,0.0,0.1,0.0,0.0,0.0,0.0,19.0,357.0,-357.0
20,0.0,0.1,0.0,0.0,0.0,0.0,20.0,252.0,-252.0
21,0.0,0.1,0.0,0.0,0.0,0.0,21.0,403.0,-403.0
22,0.0,0.1,0.0,0.0,0.0,0.0,22.0,324.0,-324.0
23,0.0,0.1,0.0,0.0,0.0,0.0,23.0,450.0,-450.0
24,0.0,0.1,0.0,0.0,0.0,0.0,24.0,347.0,-347.0
25,0.0,0.1,0.0,0.0,0.0,0.0,25.0,356.0,-356.0
26,0.0,0.1,0.0,0.0,0.0,0.0,26.0,361.0,-361.0
27,0.0,0.1,0.0,0.0,0.0,0.0,27.0,246.0,-246.0
28,0.0,0.1,0.0,0.0,0.0,0.0,28.0,415.0,-415.0
29,0.0,0.1,0.0,0.0,0.0,0.0,29.0,251.0,-251.0
30,0.0,0.1,0.0,0.0,0.0,0.0,30.0,418.0,-418.0
31,0.0,0.1,0.0,0.0,0.0,0.0,31.0,278.0,-278.0
32,0.0,0.1,0.0,0.0,0.0,0.0,32.0,383.0,-383.0
